batch,classes,data_augmentation,dense,epochs,flatten,img_size,learning_rate,model,optimizer,tensorboard,train_GAP,train_acc,train_loss,val_GAP,val_acc,val_loss,global_average,dense_1,dropout,dense_2,dropout_1
256.0,200.0,False,200.0,15.0,1.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_0.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_0,0.997,0.998,0.052000000000000005,0.386,0.609,1.92,,,,,
256.0,200.0,False,200.0,15.0,,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_1.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_1,0.234,0.477,2.449,0.213,0.434,2.627,1.0,,,,
256.0,200.0,False,200.0,15.0,1.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_2.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_2,0.889,0.943,0.284,0.341,0.569,1.953,,512.0,0.2,,
256.0,200.0,False,200.0,15.0,1.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_3.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_3,0.959,0.978,0.183,0.386,0.607,1.81,,,0.2,,
512.0,200.0,False,200.0,15.0,1.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_4.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_4,0.9570000000000001,0.978,0.23600000000000002,0.381,0.611,1.7269999999999999,,,,,
512.0,200.0,False,200.0,20.0,1.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_5.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_5,0.998,0.999,0.042,0.386,0.614,1.9,,,,,
512.0,200.0,False,200.0,25.0,1.0,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_6.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_6,0.9990000000000001,1.0,0.035,0.38799999999999996,0.616,1.902,,,,,
256.0,200.0,True,200.0,15.0,1.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_7.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_7,0.361,0.596,1.663,0.253,0.488,2.265,,,,,
256.0,200.0,True,200.0,15.0,1.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_8.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_8,0.245,0.491,2.137,0.21,0.435,2.432,,512.0,0.2,,
256.0,200.0,True,200.0,20.0,1.0,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_9.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_9,0.223,0.465,2.513,0.204,0.426,2.687,,,0.5,,
512.0,200.0,True,200.0,20.0,1.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_10.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_10,0.35600000000000004,0.594,1.705,0.267,0.507,2.194,,,,,
256.0,20.0,False,20.0,20.0,1.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_12.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_12,0.978,0.9890000000000001,0.11800000000000001,0.659,0.813,0.638,,,,,
256.0,20.0,False,20.0,20.0,0.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_13.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_13,0.481,0.6890000000000001,1.159,0.441,0.6559999999999999,1.231,,,,,
256.0,20.0,False,20.0,20.0,1.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_14.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_14,0.9790000000000001,0.99,0.055999999999999994,0.677,0.8190000000000001,0.626,,512.0,0.5,,
256.0,20.0,False,20.0,20.0,1.0,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_15.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_15,0.993,0.997,0.029,0.691,0.8320000000000001,0.613,,512.0,0.5,,
256.0,20.0,False,20.0,20.0,1.0,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_16.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_16,0.9390000000000001,0.9690000000000001,0.151,0.662,0.8140000000000001,0.621,,512.0,0.5,512.0,0.5
256.0,20.0,True,20.0,20.0,1.0,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_17.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_17,0.585,0.763,0.812,0.523,0.72,0.938,,512.0,0.5,,
256.0,20.0,True,20.0,20.0,1.0,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_18.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_18,0.496,0.696,1.124,0.452,0.6679999999999999,1.198,,,,,
256.0,20.0,True,20.0,20.0,1.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_19.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_19,0.647,0.804,0.65,0.56,0.745,0.851,,,,,
512.0,20.0,True,20.0,20.0,1.0,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_feature_extraction_20.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_feature_extraction_20,0.64,0.8009999999999999,0.693,0.56,0.746,0.857,,,,,
